STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00103964,"HAMER 4 NW, ID US",4/23/2000,,,0.03,0,0,67,40,50
USC00103964,"HAMER 4 NW, ID US",4/24/2000,,,0,0,0,58,32,57
USC00103964,"HAMER 4 NW, ID US",4/25/2000,,,0,0,0,62,27,61
USC00103964,"HAMER 4 NW, ID US",4/26/2000,,,0,0,0,63,26,61
USC00103964,"HAMER 4 NW, ID US",4/27/2000,,,0,0,0,78,30,77
USC00103964,"HAMER 4 NW, ID US",4/28/2000,,,0,0,0,77,45,64
USC00103964,"HAMER 4 NW, ID US",4/29/2000,,,0,0,0,64,35,54
USC00103964,"HAMER 4 NW, ID US",4/30/2000,,,0,0,0,66,23,64
USC00103964,"HAMER 4 NW, ID US",5/1/2000,,,0,0,0,77,33,75
USC00103964,"HAMER 4 NW, ID US",5/2/2000,,,0,0,0,76,36,70
USC00103964,"HAMER 4 NW, ID US",5/3/2000,,,0,0,0,80,31,77
USC00103964,"HAMER 4 NW, ID US",5/4/2000,,,0,0,0,77,51,64
USC00103964,"HAMER 4 NW, ID US",5/5/2000,,,0.01,0,0,64,42,50
USC00103964,"HAMER 4 NW, ID US",5/6/2000,,,0.12,0,0,56,30,53
USC00103964,"HAMER 4 NW, ID US",5/7/2000,,,0.22,0,0,53,41,42
USC00103964,"HAMER 4 NW, ID US",5/8/2000,,,0.01,0,0,62,41,58
USC00103964,"HAMER 4 NW, ID US",5/9/2000,,,0.18,0,0,62,35,61
USC00103964,"HAMER 4 NW, ID US",5/10/2000,,,0,0,0,61,32,59
USC00103964,"HAMER 4 NW, ID US",5/11/2000,,,0,0,0,59,26,44
USC00103964,"HAMER 4 NW, ID US",5/12/2000,,,0,0,0,53,25,50
USC00103964,"HAMER 4 NW, ID US",5/13/2000,,,0,0,0,63,29,55
USC00103964,"HAMER 4 NW, ID US",5/14/2000,,,0,0,0,73,37,62
USC00103964,"HAMER 4 NW, ID US",5/15/2000,,,0,0,0,72,42,70
USC00103964,"HAMER 4 NW, ID US",5/16/2000,,,0,0,0,74,46,63
USC00103964,"HAMER 4 NW, ID US",5/17/2000,,,0.34,0,0,65,40,61
USC00103964,"HAMER 4 NW, ID US",5/18/2000,,,0,0,0,68,36,67
USC00103964,"HAMER 4 NW, ID US",5/19/2000,,,0,0,0,71,37,66
USC00103964,"HAMER 4 NW, ID US",5/20/2000,,,0,0,0,73,37,55
USC00103964,"HAMER 4 NW, ID US",5/21/2000,,,0,0,0,80,41,70
USC00103964,"HAMER 4 NW, ID US",5/22/2000,,,0,0,0,81,46,78
USC00103964,"HAMER 4 NW, ID US",5/23/2000,,,0,0,0,80,45,78
USC00103964,"HAMER 4 NW, ID US",5/24/2000,,,0,0,0,79,42,74
USC00103964,"HAMER 4 NW, ID US",5/25/2000,,,0.11,0,0,76,44,58
USC00103964,"HAMER 4 NW, ID US",5/26/2000,,,0.03,0,0,69,41,58
USC00103964,"HAMER 4 NW, ID US",5/27/2000,,,0,0,0,76,37,61
USC00103964,"HAMER 4 NW, ID US",5/28/2000,,,0.02,0,0,76,51,72
USC00103964,"HAMER 4 NW, ID US",5/29/2000,,,0,0,0,74,40,72
USC00103964,"HAMER 4 NW, ID US",5/30/2000,,,0,0,0,74,36,74
USC00103964,"HAMER 4 NW, ID US",5/31/2000,,,0,0,0,74,39,64
USC00103964,"HAMER 4 NW, ID US",6/1/2000,,,0,0,0,68,30,67
USC00103964,"HAMER 4 NW, ID US",6/2/2000,,,0,0,0,84,35,83
USC00103964,"HAMER 4 NW, ID US",6/3/2000,,,0,0,0,84,38,83
USC00103964,"HAMER 4 NW, ID US",6/4/2000,,,0,0,0,83,46,81
USC00103964,"HAMER 4 NW, ID US",6/5/2000,,,0,0,0,91,41,87
USC00103964,"HAMER 4 NW, ID US",6/6/2000,,,0,0,0,87,44,85
USC00103964,"HAMER 4 NW, ID US",6/7/2000,,,0,0,0,89,47,88
USC00103964,"HAMER 4 NW, ID US",6/8/2000,,,0,0,0,88,47,82
USC00103964,"HAMER 4 NW, ID US",6/9/2000,,,0,0,0,82,43,64
USC00103964,"HAMER 4 NW, ID US",6/10/2000,,,0,0,0,71,35,69
USC00103964,"HAMER 4 NW, ID US",6/11/2000,,,0,0,0,72,43,71
USC00103964,"HAMER 4 NW, ID US",6/12/2000,,,0.12,0,0,71,51,63
USC00103964,"HAMER 4 NW, ID US",6/13/2000,,,0,0,0,71,41,69
USC00103964,"HAMER 4 NW, ID US",6/14/2000,,,0,0,0,82,38,72
USC00103964,"HAMER 4 NW, ID US",6/15/2000,,,0,0,0,76,38,74
USC00103964,"HAMER 4 NW, ID US",6/16/2000,,,0,0,0,75,37,64
USC00103964,"HAMER 4 NW, ID US",6/17/2000,,,0,0,0,74,32,71
USC00103964,"HAMER 4 NW, ID US",6/18/2000,,,0,0,0,84,40,70
USC00103964,"HAMER 4 NW, ID US",6/19/2000,,,0.14,0,0,70,50,56
USC00103964,"HAMER 4 NW, ID US",6/20/2000,,,0.36,0,0,71,36,71
USC00103964,"HAMER 4 NW, ID US",6/21/2000,,,0,0,0,80,39,79
USC00103964,"HAMER 4 NW, ID US",6/22/2000,,,0,0,0,88,44,87
USC00103964,"HAMER 4 NW, ID US",6/23/2000,,,0,0,0,87,46,82
USC00103964,"HAMER 4 NW, ID US",6/24/2000,,,0,0,0,86,47,85
USC00103964,"HAMER 4 NW, ID US",6/25/2000,,,0,0,0,85,51,76
USC00103964,"HAMER 4 NW, ID US",6/26/2000,,,0,0,0,81,46,79
USC00103964,"HAMER 4 NW, ID US",6/27/2000,,,0,0,0,81,53,75
USC00103964,"HAMER 4 NW, ID US",6/28/2000,,,0.01,0,0,85,48,84
USC00103964,"HAMER 4 NW, ID US",6/29/2000,,,0,0,0,84,48,83
USC00103964,"HAMER 4 NW, ID US",6/30/2000,,,0,0,0,91,44,76
USC00103964,"HAMER 4 NW, ID US",7/1/2000,,,0,0,0,87,50,86
USC00103964,"HAMER 4 NW, ID US",7/2/2000,,,0,0,0,85,43,84
USC00103964,"HAMER 4 NW, ID US",7/3/2000,,,0,0,0,85,49,69
USC00103964,"HAMER 4 NW, ID US",7/4/2000,,,0,0,0,76,42,75
USC00103964,"HAMER 4 NW, ID US",7/5/2000,,,0,0,0,85,44,85
USC00103964,"HAMER 4 NW, ID US",7/6/2000,,,0,0,0,85,47,78
USC00103964,"HAMER 4 NW, ID US",7/7/2000,,,0,0,0,,,
USC00103964,"HAMER 4 NW, ID US",7/8/2000,,,0,0,0,87,47,86
USC00103964,"HAMER 4 NW, ID US",7/9/2000,,,0,0,0,77,54,73
USC00103964,"HAMER 4 NW, ID US",7/10/2000,,,0,0,0,78,43,72
USC00103964,"HAMER 4 NW, ID US",7/11/2000,,,0,0,0,87,46,87
USC00103964,"HAMER 4 NW, ID US",7/12/2000,,,0,0,0,93,47,92
USC00103964,"HAMER 4 NW, ID US",7/13/2000,,,0,0,0,95,48,87
USC00103964,"HAMER 4 NW, ID US",7/14/2000,,,0,0,0,94,49,77
USC00103964,"HAMER 4 NW, ID US",7/15/2000,,,0,0,0,92,46,91
USC00103964,"HAMER 4 NW, ID US",7/16/2000,,,0,0,0,92,56,88
USC00103964,"HAMER 4 NW, ID US",7/17/2000,,,0.02,0,0,88,56,82
USC00103964,"HAMER 4 NW, ID US",7/18/2000,,,0.49,0,0,82,53,75
USC00103964,"HAMER 4 NW, ID US",7/19/2000,,,0,0,0,81,46,80
USC00103964,"HAMER 4 NW, ID US",7/20/2000,,,0,0,0,84,47,79
USC00103964,"HAMER 4 NW, ID US",7/21/2000,,,0,0,0,88,48,86
USC00103964,"HAMER 4 NW, ID US",7/22/2000,,,0,0,0,96,47,74
USC00103964,"HAMER 4 NW, ID US",7/23/2000,,,0,0,0,93,51,92
USC00103964,"HAMER 4 NW, ID US",7/24/2000,,,0,0,0,92,47,85
USC00103964,"HAMER 4 NW, ID US",7/25/2000,,,0,0,0,89,47,88
USC00103964,"HAMER 4 NW, ID US",7/26/2000,,,0,0,0,89,55,85
USC00103964,"HAMER 4 NW, ID US",7/27/2000,,,0,0,0,92,55,91
USC00103964,"HAMER 4 NW, ID US",7/28/2000,,,0,0,0,93,51,93
USC00103964,"HAMER 4 NW, ID US",7/29/2000,,,0,0,0,96,53,94
USC00103964,"HAMER 4 NW, ID US",7/30/2000,,,0,0,0,98,51,89
USC00103964,"HAMER 4 NW, ID US",7/31/2000,,,0,0,0,98,56,97
USC00103964,"HAMER 4 NW, ID US",8/1/2000,,,0,0,0,99,53,87
USC00103964,"HAMER 4 NW, ID US",8/2/2000,,,0,0,0,93,53,92
USC00103964,"HAMER 4 NW, ID US",8/3/2000,,,0,0,0,92,50,83
USC00103964,"HAMER 4 NW, ID US",8/4/2000,,,0,0,0,86,59,68
USC00103964,"HAMER 4 NW, ID US",8/5/2000,,,0.04,0,0,87,53,86
USC00103964,"HAMER 4 NW, ID US",8/6/2000,,,0,0,0,89,45,83
USC00103964,"HAMER 4 NW, ID US",8/7/2000,,,0,0,0,91,46,90
USC00103964,"HAMER 4 NW, ID US",8/8/2000,,,0,0,0,93,47,91
USC00103964,"HAMER 4 NW, ID US",8/9/2000,,,0,0,0,95,52,81
USC00103964,"HAMER 4 NW, ID US",8/10/2000,,,0,0,0,88,61,82
USC00103964,"HAMER 4 NW, ID US",8/11/2000,,,0,0,0,84,52,79
USC00103964,"HAMER 4 NW, ID US",8/12/2000,,,0,0,0,91,40,86
USC00103964,"HAMER 4 NW, ID US",8/13/2000,,,0,0,0,87,47,84
USC00103964,"HAMER 4 NW, ID US",8/14/2000,,,0,0,0,89,41,87
USC00103964,"HAMER 4 NW, ID US",8/15/2000,,,0,0,0,92,47,91
USC00103964,"HAMER 4 NW, ID US",8/16/2000,,,0,0,0,91,48,87
USC00103964,"HAMER 4 NW, ID US",8/17/2000,,,0,0,0,90,44,89
USC00103964,"HAMER 4 NW, ID US",8/18/2000,,,0,0,0,81,51,80
USC00103964,"HAMER 4 NW, ID US",8/19/2000,,,0,0,0,85,39,83
USC00103964,"HAMER 4 NW, ID US",8/20/2000,,,0,0,0,83,41,77
USC00103964,"HAMER 4 NW, ID US",8/21/2000,,,0,0,0,81,37,79
USC00103964,"HAMER 4 NW, ID US",8/22/2000,,,0,0,0,88,39,87
USC00103964,"HAMER 4 NW, ID US",8/23/2000,,,0,0,0,91,47,90
USC00103964,"HAMER 4 NW, ID US",8/24/2000,,,0,0,0,90,54,87
USC00103964,"HAMER 4 NW, ID US",8/25/2000,,,0,0,0,89,50,75
USC00103964,"HAMER 4 NW, ID US",8/26/2000,,,0,0,0,87,47,80
USC00103964,"HAMER 4 NW, ID US",8/27/2000,,,0,0,0,86,43,84
USC00103964,"HAMER 4 NW, ID US",8/28/2000,,,0,0,0,84,44,83
USC00103964,"HAMER 4 NW, ID US",8/29/2000,,,0,0,0,85,36,85
USC00103964,"HAMER 4 NW, ID US",8/30/2000,,,0,0,0,85,47,73
USC00103964,"HAMER 4 NW, ID US",8/31/2000,,,0,0,0,75,42,72
USC00103964,"HAMER 4 NW, ID US",9/1/2000,,,0.39,0,0,72,46,50
USC00103964,"HAMER 4 NW, ID US",9/2/2000,,,0.45,0,0,64,43,56
USC00103964,"HAMER 4 NW, ID US",9/3/2000,,,0,0,0,72,40,69
USC00103964,"HAMER 4 NW, ID US",9/4/2000,,,0,0,0,78,46,77
USC00103964,"HAMER 4 NW, ID US",9/5/2000,,,0,0,0,77,43,66
USC00103964,"HAMER 4 NW, ID US",9/6/2000,,,0,0,0,68,44,62
USC00103964,"HAMER 4 NW, ID US",9/7/2000,,,0,0,0,72,34,70
USC00103964,"HAMER 4 NW, ID US",9/8/2000,,,0,0,0,78,37,76
USC00103964,"HAMER 4 NW, ID US",9/9/2000,,,0,0,0,76,42,64
USC00103964,"HAMER 4 NW, ID US",9/10/2000,,,0,0,0,73,29,72
USC00103964,"HAMER 4 NW, ID US",9/11/2000,,,0,0,0,76,40,74
USC00103964,"HAMER 4 NW, ID US",9/12/2000,,,0,0,0,80,39,79
USC00103964,"HAMER 4 NW, ID US",9/13/2000,,,0,0,0,85,42,83
USC00103964,"HAMER 4 NW, ID US",9/14/2000,,,0,0,0,88,45,86
USC00103964,"HAMER 4 NW, ID US",9/15/2000,,,0,0,0,92,42,90
USC00103964,"HAMER 4 NW, ID US",9/16/2000,,,0,0,0,91,45,87
USC00103964,"HAMER 4 NW, ID US",9/17/2000,,,0.1,0,0,87,54,79
USC00103964,"HAMER 4 NW, ID US",9/18/2000,,,0,0,0,79,41,78
USC00103964,"HAMER 4 NW, ID US",9/19/2000,,,0,0,0,78,55,73
USC00103964,"HAMER 4 NW, ID US",9/20/2000,,,0,0,0,73,33,63
USC00103964,"HAMER 4 NW, ID US",9/21/2000,,,0,0,0,66,38,53
USC00103964,"HAMER 4 NW, ID US",9/22/2000,,,0,0,0,54,32,43
USC00103964,"HAMER 4 NW, ID US",9/23/2000,,,0,0,0,52,32,48
USC00103964,"HAMER 4 NW, ID US",9/24/2000,,,0,0,0,57,18,56
USC00103964,"HAMER 4 NW, ID US",9/25/2000,,,0,0,0,84,23,62
USC00103964,"HAMER 4 NW, ID US",9/26/2000,,,0,0,0,70,24,69
USC00103964,"HAMER 4 NW, ID US",9/27/2000,,,0,0,0,76,28,74
USC00103964,"HAMER 4 NW, ID US",9/28/2000,,,0,0,0,79,32,74
USC00103964,"HAMER 4 NW, ID US",9/29/2000,,,0,0,0,77,35,74
USC00103964,"HAMER 4 NW, ID US",9/30/2000,,,0,0,0,73,39,70
USC00103964,"HAMER 4 NW, ID US",10/1/2000,,,0,0,0,72,46,46
USC00103964,"HAMER 4 NW, ID US",10/2/2000,,,0,0,0,70,31,69
USC00103964,"HAMER 4 NW, ID US",10/3/2000,,,0,0,0,69,35,63
USC00103964,"HAMER 4 NW, ID US",10/4/2000,,,0,0,0,63,25,62
