STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/22/2000,,,0,,,72,96,47,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/23/2000,,,0,,,69,89,49,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/24/2000,,,0,,,66,85,46,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/25/2000,,,0,,,67,87,46,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/26/2000,,,0,,,71,88,54,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/27/2000,,,0,,,73,91,55,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/28/2000,,,0,,,72,93,50,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/29/2000,,,0,,,74,95,52,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/30/2000,,,0,,,75,99,50,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/31/2000,,,0,,,76,97,54,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/1/2000,,,0,,,74,94,54,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/2/2000,,,0,,,75,93,56,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/3/2000,,,0,,,74,89,59,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/4/2000,,,0.41,,,71,82,60,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/5/2000,,,0,,,71,86,55,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/6/2000,,,0,,,68,87,49,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/7/2000,,,0,,,71,91,50,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/8/2000,,,0,,,70,91,48,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/9/2000,,,0,,,73,95,51,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/10/2000,,,0,,,77,90,64,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/11/2000,,,0,,,69,82,55,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/12/2000,,,0,,,65,87,42,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/13/2000,,,0,,,68,89,46,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/14/2000,,,0,,,66,88,43,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/15/2000,,,0,,,69,91,47,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/16/2000,,,0,,,67,87,47,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/17/2000,,,0,,,69,91,46,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/18/2000,,,0.05,,,67,81,52,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/19/2000,,,0,,,65,84,45,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/20/2000,,,0,,,64,77,51,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/21/2000,,,0,,,61,80,41,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/22/2000,,,0,,,65,88,42,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/23/2000,,,0,,,70,91,49,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/24/2000,,,0,,,73,87,59,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/25/2000,,,0,,,70,89,51,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/26/2000,,,0,,,67,83,50,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/27/2000,,,0,,,68,86,49,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/28/2000,,,0,,,66,83,48,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/29/2000,,,0,,,67,86,47,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/30/2000,,,0,,,62,72,52,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",8/31/2000,,,0.05,,,59,74,44,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/1/2000,,,0.29,,,60,70,49,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/2/2000,,,0.02,,,55,67,42,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/3/2000,,,0,,,55,71,38,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/4/2000,,,0,,,62,80,44,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/5/2000,,,0,,,58,69,46,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/6/2000,,,0.01,,,51,61,40,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/7/2000,,,0,,,53,72,34,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/8/2000,,,0,,,59,79,38,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/9/2000,,,0,,,54,63,44,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/10/2000,,,0,,,57,75,39,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/11/2000,,,0,,,62,75,48,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/12/2000,,,0,,,61,79,42,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/13/2000,,,0,,,64,84,44,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/14/2000,,,0,,,66,88,44,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/15/2000,,,0,,,69,91,46,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/16/2000,,,0,,,66,89,43,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/17/2000,,,0,,,68,81,55,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/18/2000,,,0,,,60,76,43,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/19/2000,,,0,,,59,74,43,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/20/2000,,,0,,,51,66,35,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/21/2000,,,0,,,48,58,37,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/22/2000,,,0.01,,,38,41,34,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/23/2000,,,0,,,39,51,27,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/24/2000,,,0,,,39,55,22,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/25/2000,,,0,,,44,63,24,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/26/2000,,,0,,,48,68,28,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/27/2000,,,0,,,52,75,29,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/28/2000,,,0,,,57,79,34,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/29/2000,,,0,,,59,74,44,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",9/30/2000,,,0,,,63,74,51,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",10/1/2000,,,0,,,55,67,43,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",10/2/2000,,,0,,,54,68,40,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",10/3/2000,,,0,,,47,61,32,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",10/4/2000,,,0,,,45,61,29,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",10/5/2000,,,0,,,40,55,25,
